iter	Logloss
0	0.6855957886
1	0.6786237957
2	0.6709630633
3	0.6638292966
4	0.6574951464
5	0.6505230083
6	0.6433470071
7	0.636489259
8	0.6310177701
9	0.6251641656
10	0.6191678206
11	0.6133190306
12	0.6074671557
13	0.6016140135
14	0.5960331222
15	0.5913441472
16	0.5863460245
17	0.5807555253
18	0.5758360815
19	0.5709646407
20	0.5666413331
21	0.5624790223
22	0.5584707548
23	0.5539014741
24	0.5494099341
25	0.5450789298
26	0.5406506688
27	0.5360262774
28	0.5323711724
29	0.528671149
30	0.5248553381
31	0.5217413678
32	0.5187099927
33	0.515548079
34	0.5124770108
35	0.5091176427
36	0.5061595477
37	0.502674899
38	0.4995824212
39	0.4968463147
40	0.4939817808
41	0.4913020704
42	0.4888631229
43	0.4866587779
44	0.4846897598
45	0.4819459542
46	0.4797865993
47	0.477142538
48	0.4748038087
49	0.4725275561
50	0.4700777454
51	0.4677138778
52	0.4653386954
53	0.4635370272
54	0.4615320045
55	0.4593186991
56	0.4571361098
57	0.454860193
58	0.4524954924
59	0.4509076792
60	0.4484622075
61	0.4465776799
62	0.4447791368
63	0.4428184724
64	0.4412521494
65	0.4395279392
66	0.437776697
67	0.4359605589
68	0.4345518363
69	0.4324284277
70	0.4305095639
71	0.4289550147
72	0.42749544
73	0.4258298118
74	0.4240795734
75	0.4228737102
76	0.421524188
77	0.4198496709
78	0.4186677737
79	0.4172526302
80	0.4161633387
81	0.4150602393
82	0.4136596451
83	0.4121418049
84	0.4108277861
85	0.4095973574
86	0.4082241406
87	0.4072915587
88	0.4062120104
89	0.4047468929
90	0.4034211799
91	0.4019798019
92	0.4011384037
93	0.4000268047
94	0.3992565695
95	0.3984151915
96	0.3974071041
97	0.3961750084
98	0.3951264382
99	0.3936827207
100	0.3928006166
101	0.3917750783
102	0.3904036091
103	0.3894673308
104	0.3885857002
105	0.3876792105
106	0.3870201497
107	0.3861674843
108	0.384952456
109	0.3841009335
110	0.3831819886
111	0.3821351348
112	0.3816699513
113	0.3810332429
114	0.3800668803
115	0.3791587716
116	0.3783225028
117	0.3774099967
118	0.3766871916
119	0.3760045219
120	0.3752017523
121	0.3744199424
122	0.3736491762
123	0.3731074788
124	0.3725912691
125	0.3716883312
126	0.3711701429
127	0.3704579991
128	0.3696256001
129	0.3686500862
130	0.3681520283
131	0.3674513808
132	0.3668531194
133	0.3666080244
134	0.3657920757
135	0.3649492467
136	0.3641769363
137	0.3634776336
138	0.3627180075
139	0.3621580707
140	0.3614430643
141	0.3608963223
142	0.3605073278
143	0.3600825428
144	0.3595102719
145	0.3589154091
146	0.3584061152
147	0.3578293344
148	0.3574672986
149	0.3569263965
150	0.3562443026
151	0.3557484224
152	0.3549685073
153	0.3545559321
154	0.3539835979
155	0.3534838352
156	0.3529413501
157	0.3523778446
158	0.3518494241
159	0.3512826411
160	0.3505705342
161	0.3504775481
162	0.3500770174
