iter	Passed	Remaining
0	102	30511
1	105	15783
2	109	10876
3	114	8439
4	118	6966
5	122	6010
6	127	5327
7	130	4762
8	134	4338
9	138	4002
10	141	3720
11	145	3482
12	148	3272
13	151	3102
14	155	2948
15	158	2822
16	161	2690
17	165	2589
18	168	2491
19	171	2405
20	175	2326
21	177	2244
22	180	2179
23	184	2121
24	186	2049
25	188	1990
26	191	1935
27	193	1883
28	195	1830
29	198	1784
30	200	1737
31	202	1692
32	204	1651
33	205	1611
34	207	1573
35	209	1536
36	211	1500
37	212	1465
38	213	1431
39	215	1398
40	216	1367
41	217	1336
42	219	1309
43	220	1282
44	221	1255
45	222	1229
46	223	1203
47	224	1179
48	225	1155
49	226	1133
50	227	1110
51	228	1089
52	229	1069
53	230	1049
54	231	1030
55	232	1011
56	233	993
57	233	976
58	234	959
59	235	942
60	236	927
61	237	911
62	238	896
63	239	882
64	240	867
65	240	854
66	241	840
67	242	827
68	243	815
69	244	802
70	245	790
71	246	779
72	246	767
73	247	756
74	248	745
75	249	735
76	250	725
77	251	715
78	252	705
79	252	695
80	253	686
81	254	676
82	255	667
83	256	658
84	257	650
85	258	642
86	258	634
87	259	625
88	260	618
89	261	610
90	262	602
91	263	595
92	264	588
93	264	580
94	265	572
95	266	565
96	267	559
97	268	552
98	269	546
99	269	539
100	270	533
101	271	527
102	272	521
103	273	515
104	274	509
105	275	503
106	276	497
107	276	492
108	277	486
109	278	481
110	279	476
111	280	470
112	281	465
113	282	460
114	283	455
115	284	450
116	284	445
117	285	440
118	286	435
119	287	431
120	288	426
121	289	422
122	290	417
123	290	412
124	291	408
125	292	404
126	293	399
127	294	395
128	295	391
129	296	387
130	296	383
131	297	379
132	298	375
133	299	371
134	300	367
135	301	363
136	302	359
137	303	355
138	303	352
139	304	348
140	305	344
141	306	341
142	307	337
143	308	334
144	309	330
145	310	327
146	311	323
147	311	320
148	312	317
149	313	313
150	314	310
151	315	307
152	316	303
153	317	300
154	317	297
155	318	294
156	319	290
157	320	287
158	321	284
159	321	281
160	322	278
161	323	275
162	324	272
163	325	269
164	326	267
165	327	264
166	328	261
167	329	258
168	330	255
169	331	253
170	331	250
171	332	247
172	333	244
173	334	242
174	335	239
175	336	237
176	337	234
177	338	231
178	339	229
179	340	226
180	340	224
181	341	221
182	342	219
183	343	216
184	344	214
185	345	211
186	346	209
187	347	206
188	347	204
189	348	201
190	349	199
191	350	197
192	351	194
193	352	192
194	352	190
195	353	187
196	354	185
197	355	183
198	356	180
199	357	178
200	358	176
201	359	174
202	359	171
203	360	169
204	361	167
205	362	165
206	363	163
207	364	161
208	365	158
209	365	156
210	366	154
211	367	152
212	368	150
213	369	148
214	370	146
215	370	144
216	371	142
217	372	140
218	373	138
219	374	136
220	375	134
221	376	132
222	376	130
223	377	128
224	378	126
225	379	124
226	380	122
227	381	120
228	382	118
229	383	116
230	383	114
231	384	112
232	385	110
233	386	108
234	387	107
235	388	105
236	388	103
237	389	101
238	390	99
239	391	97
240	392	96
241	393	94
242	394	92
243	394	90
244	395	88
245	396	87
246	397	85
247	398	83
248	399	81
249	400	80
250	400	78
251	401	76
252	402	74
253	403	73
254	404	71
255	405	69
256	406	67
257	406	66
258	407	64
259	409	62
260	410	61
261	411	59
262	411	57
263	412	56
264	413	54
265	414	53
266	415	51
267	416	49
268	417	48
269	418	46
270	419	44
271	420	43
272	421	41
273	422	40
274	422	38
275	423	36
276	424	35
277	425	33
278	426	32
279	427	30
280	428	28
281	429	27
282	429	25
283	430	24
284	431	22
285	432	21
286	433	19
287	434	18
288	435	16
289	436	15
290	437	13
291	438	12
292	438	10
293	439	8
294	440	7
295	441	5
296	442	4
297	443	2
298	444	1
299	445	0
