iter	Passed	Remaining
0	104	104860
1	107	53609
2	109	36372
3	112	28096
4	117	23319
5	121	20055
6	124	17703
7	127	15781
8	131	14474
9	135	13412
10	141	12762
11	143	11841
12	145	11019
13	146	10352
14	148	9748
15	149	9216
16	151	8760
17	153	8371
18	154	7991
19	156	7677
20	158	7394
21	160	7122
22	161	6873
23	163	6638
24	164	6434
25	166	6235
26	168	6058
27	169	5888
28	171	5743
29	172	5593
30	174	5447
31	175	5312
32	177	5191
33	178	5081
34	180	4966
35	181	4863
36	183	4764
37	185	4688
38	186	4597
39	187	4507
40	189	4426
41	191	4359
42	192	4276
43	193	4206
44	195	4141
45	196	4083
46	198	4019
47	199	3957
48	200	3899
49	203	3862
50	204	3808
51	206	3758
52	207	3707
53	209	3674
54	211	3629
55	212	3584
56	214	3543
57	215	3506
58	217	3468
59	219	3431
60	220	3392
61	222	3362
62	223	3329
63	225	3294
64	226	3259
65	228	3236
66	230	3204
67	231	3173
68	232	3142
69	234	3119
70	236	3091
71	237	3064
72	239	3037
73	241	3021
74	243	2997
75	244	2976
76	246	2952
77	248	2934
78	250	2916
79	251	2896
80	257	2917
81	259	2902
82	261	2889
83	263	2871
84	265	2855
85	267	2845
86	269	2827
87	270	2806
88	272	2789
89	274	2774
90	275	2754
91	277	2736
92	278	2717
93	280	2707
94	281	2686
95	283	2667
96	284	2650
97	286	2639
98	287	2618
99	289	2605
100	290	2589
101	292	2576
102	294	2561
103	295	2545
104	296	2531
105	298	2518
106	300	2507
107	301	2492
108	303	2480
109	305	2469
110	306	2457
111	308	2444
112	309	2432
113	311	2419
114	313	2410
115	314	2399
116	316	2388
117	318	2378
118	319	2368
119	321	2356
120	322	2344
121	324	2336
122	326	2326
123	327	2315
124	329	2305
125	330	2294
126	332	2284
127	333	2274
128	335	2264
129	336	2253
130	338	2245
131	339	2235
132	341	2225
133	343	2217
134	345	2212
135	346	2202
136	347	2191
137	349	2181
138	351	2176
139	352	2167
140	354	2158
141	355	2149
142	357	2143
143	358	2133
144	359	2121
145	361	2113
146	362	2104
147	364	2096
148	365	2089
149	368	2085
150	369	2078
